hazard,feedback_fraction,feedback_delay,selector_mode,n_seeds,mean_accuracy,sd_accuracy,mean_dynamic_regret,mean_switch_latency,mean_false_switch_rate,mean_context_nll,mean_context_brier,expected_feedback_per_dwell,delay_fraction_of_expected_dwell
0.01,0.5,0,persistent_rpe_local,30,0.8436197916666667,0.01339405327995364,0.054427083333333334,9.05,0.03018815803377517,0.6265575119581739,0.15018350591644516,50.0,0.0
0.01,0.5,0,train_fixed_best,30,0.7605875651041667,0.017647847813141417,0.13745930989583333,,,,,50.0,0.0
0.01,0.5,4,bayes_reward_filter,30,0.8295735677083333,0.011617275256606796,0.06847330729166666,11.616666666666667,0.027607030629780035,0.4443460340317936,0.14027562584533898,50.0,0.04
0.01,0.5,4,credit_shuffled_local,30,0.7008138020833333,0.012629856105159749,0.19723307291666667,0.016666666666666666,0.09191964109204655,2.1897694829216077,0.5673603980131532,50.0,0.04
0.01,0.5,4,cumulative_sample_average,30,0.7622802734375,0.01385913261074373,0.1357666015625,8.416666666666666,0.002244187832722634,1.7175805895834382,0.33257437977495924,50.0,0.04
0.01,0.5,4,matched_random,30,0.7548828125,0.01086565294733823,0.1431640625,,,,,50.0,0.04
0.01,0.5,4,no_feedback_local,30,0.7548828125,0.01086565294733823,0.1431640625,2.7666666666666666,0.0,0.6931471805599451,0.25,50.0,0.04
0.01,0.5,4,oracle_hidden_state,30,0.898046875,0.008957367299152509,0.0,0.0,0.0,9.999778782803791e-13,0.0,50.0,0.04
0.01,0.5,4,persistent_rpe_local,30,0.8340901692708333,0.012342107478444716,0.06395670572916666,13.3,0.04168553103600594,0.7290662281565891,0.17750958176001727,50.0,0.04
0.01,0.5,4,train_fixed_best,30,0.7605875651041667,0.017647847813141417,0.13745930989583333,,,,,50.0,0.04
0.01,0.5,16,bayes_reward_filter,30,0.807275390625,0.011403475258587268,0.090771484375,18.55,0.02870792452697957,0.5443944272927322,0.1807843478810135,50.0,0.16
0.01,0.5,16,credit_shuffled_local,30,0.7094319661458334,0.011135279356570712,0.18861490885416668,0.16666666666666666,0.08643652518356414,2.1662182743716536,0.5494275628429556,50.0,0.16
0.01,0.5,16,cumulative_sample_average,30,0.761767578125,0.012646227587552399,0.136279296875,8.8,0.0028445292504241004,0.9762030136563877,0.29917443458375065,50.0,0.16
0.01,0.5,16,matched_random,30,0.7548828125,0.01086565294733823,0.1431640625,,,,,50.0,0.16
0.01,0.5,16,no_feedback_local,30,0.7548828125,0.01086565294733823,0.1431640625,2.7666666666666666,0.0,0.6931471805599451,0.25,50.0,0.16
0.01,0.5,16,oracle_hidden_state,30,0.898046875,0.008957367299152509,0.0,0.0,0.0,9.999778782803791e-13,0.0,50.0,0.16
0.01,0.5,16,persistent_rpe_local,30,0.8096354166666667,0.014590082971215059,0.08841145833333333,18.283333333333335,0.054936730130337,0.9935474743557275,0.24189212243186053,50.0,0.16
0.01,0.5,16,train_fixed_best,30,0.7605875651041667,0.017647847813141417,0.13745930989583333,,,,,50.0,0.16
0.02,0.03125,0,bayes_reward_filter,30,0.7664306640625,0.008440530459302572,0.1324951171875,5.283333333333333,0.010909517840454535,0.6687334548765425,0.23842578727880046,1.5625,0.0
0.02,0.03125,0,credit_shuffled_local,30,0.7458333333333333,0.012438030757980641,0.15309244791666668,0.38333333333333336,0.0162855087229209,0.9667448782049913,0.3451453058136666,1.5625,0.0
0.02,0.03125,0,cumulative_sample_average,30,0.75908203125,0.016730117596747,0.13984375,1.9666666666666666,0.0007570942731568667,2.5241270557684024,0.4299696681573518,1.5625,0.0
0.02,0.03125,0,matched_random,30,0.7565266927083333,0.009533011656602612,0.14239908854166666,,,,,1.5625,0.0
0.02,0.03125,0,no_feedback_local,30,0.7565266927083333,0.009533011656602612,0.14239908854166666,1.3666666666666667,0.0,0.6931471805599451,0.25,1.5625,0.0
0.02,0.03125,0,oracle_hidden_state,30,0.89892578125,0.007017240049676702,0.0,0.0,0.0,9.999778782803791e-13,0.0,1.5625,0.0
